Température,Humidité,Vitesse du vent,État du jour
21,83,18,Ensoleillé
18,59,13,Pluvieux
27,85,9,Pluvieux
29,63,10,Pluvieux
25,80,16,Nuageux
22,97,16,Pluvieux
27,64,16,Pluvieux
19,57,16,Pluvieux
21,63,8,Pluvieux
24,72,18,Ensoleillé
17,89,18,Ensoleillé
21,70,15,Pluvieux
25,65,14,Nuageux
25,94,11,Ensoleillé
22,67,16,Pluvieux
19,96,13,Ensoleillé
18,73,11,Ensoleillé
22,75,18,Nuageux
22,74,5,Pluvieux
17,94,5,Pluvieux
20,90,13,Nuageux
19,78,15,Nuageux
16,64,18,Pluvieux
22,94,13,Pluvieux
26,50,8,Nuageux
28,74,17,Ensoleillé
20,56,13,Ensoleillé
16,58,7,Nuageux
26,73,11,Ensoleillé
19,50,10,Nuageux
15,93,12,Ensoleillé
26,57,15,Ensoleillé
24,73,13,Pluvieux
20,60,18,Pluvieux
27,66,9,Ensoleillé
26,57,5,Ensoleillé
23,84,7,Pluvieux
15,84,14,Pluvieux
25,82,16,Pluvieux
25,54,12,Nuageux
29,91,19,Ensoleillé
24,88,15,Pluvieux
26,90,10,Ensoleillé
26,77,12,Nuageux
29,56,13,Nuageux
28,58,8,Pluvieux
28,57,5,Nuageux
29,61,18,Ensoleillé
28,83,5,Pluvieux
17,82,14,Ensoleillé
26,97,8,Ensoleillé
21,72,16,Nuageux
18,73,18,Nuageux
23,86,11,Nuageux
17,84,6,Nuageux
19,93,7,Nuageux
17,89,5,Pluvieux
21,71,9,Ensoleillé
19,76,5,Ensoleillé
23,84,12,Ensoleillé
21,50,5,Ensoleillé
16,84,15,Nuageux
18,86,5,Ensoleillé
23,96,6,Pluvieux
26,63,6,Pluvieux
28,52,16,Ensoleillé
16,50,10,Ensoleillé
24,54,11,Pluvieux
23,75,9,Pluvieux
24,63,5,Nuageux
19,88,5,Pluvieux
16,76,7,Nuageux
18,58,18,Nuageux
26,64,6,Nuageux
29,64,9,Nuageux
26,75,16,Nuageux
21,91,14,Ensoleillé
26,62,10,Pluvieux
27,81,11,Nuageux
22,88,8,Pluvieux
29,98,11,Pluvieux
17,81,15,Nuageux
28,53,12,Ensoleillé
15,79,15,Nuageux
18,86,5,Ensoleillé
16,72,19,Pluvieux
22,88,10,Ensoleillé
18,94,12,Ensoleillé
16,64,9,Ensoleillé
28,92,8,Pluvieux
20,78,6,Pluvieux
20,85,10,Ensoleillé
24,62,10,Ensoleillé
18,81,15,Nuageux
20,56,19,Ensoleillé
27,71,5,Nuageux
29,77,13,Ensoleillé
16,51,16,Nuageux
24,91,15,Pluvieux
26,94,10,Ensoleillé
